id,year,month,day,hour,minute,second,locationName,latitude,longitude,eqDepth,eqMagnitude,damageAmountOrder,eqMagMb,publish,damageAmountOrderTotal,housesDamagedTotal,housesDamagedAmountOrderTotal,country,regionCode,injuries,injuriesAmountOrder,housesDestroyed,housesDestroyedAmountOrder,housesDamaged,housesDamagedAmountOrder,eqMagMw,eqMagMs,injuriesTotal,injuriesAmountOrderTotal,housesDestroyedTotal,housesDestroyedAmountOrderTotal,deaths,deathsAmountOrder,damageMillionsDollars,eqMagMl,deathsTotal,deathsAmountOrderTotal,damageMillionsDollarsTotal,tsunamiEventId,intensity,volcanoEventId,area,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,time
5579,2000,10,30,22,39,6.5,AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,33.0,5.1,2.0,5.2,True,2.0,800.0,3.0,AFGHANISTAN,40,,,,,,,5.1,4.5,,,,,,,,,,,,,,,,,,,,2000-10-30 00:00:00+00:00
5580,2000,11,8,6,59,58.8,PANAMA-COLOMBIA:  JURADO,7.042,-77.829,17.0,6.5,2.0,6.0,True,2.0,86.0,2.0,PANAMA,100,2.0,1.0,,,86.0,2.0,6.5,6.4,2.0,1.0,,,,,,,,,,,,,,,,,,2000-11-08 00:00:00+00:00
5581,2000,11,16,4,54,55.9,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,17.0,8.0,2.0,6.0,True,2.0,,,PAPUA NEW GUINEA,170,,,,3.0,,,8.0,8.2,,,,3.0,2.0,1.0,,,2.0,1.0,,2352.0,,,,,,,,2000-11-16 00:00:00+00:00
5582,2000,11,16,7,42,16.9,"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,30.0,7.8,1.0,6.2,True,1.0,,,PAPUA NEW GUINEA,170,,,,,,,7.8,7.8,,,,,,,,,,,,,,,,,,,,2000-11-16 00:00:00+00:00
5583,2000,11,17,21,1,56.4,PAPUA NEW GUINEA:  NEW BRITAIN,-5.496,151.781,33.0,7.8,,6.2,True,,,,PAPUA NEW GUINEA,170,,,,,,,7.8,8.0,,,,,,,,,,,,,,,,,,,,2000-11-17 00:00:00+00:00
5584,2000,11,25,18,9,11.4,AZERBAIJAN:  BAKU,40.245,49.946,50.0,6.8,1.0,5.8,True,1.0,,,AZERBAIJAN,40,430.0,3.0,,,,,6.8,,430.0,3.0,,,31.0,1.0,,,31.0,1.0,,,,,,,,,,2000-11-25 00:00:00+00:00
5585,2000,12,6,17,11,6.4,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,30.0,7.0,1.0,6.7,True,1.0,,,TURKMENISTAN,40,,2.0,,,,,7.0,7.5,,2.0,,,11.0,1.0,,,11.0,1.0,,,,,,,,,,2000-12-06 00:00:00+00:00
5586,2000,12,15,16,44,47.6,TURKEY:  AFYON-BOLVADIN,38.457,31.351,10.0,6.0,1.0,5.1,True,1.0,,2.0,TURKEY,140,41.0,1.0,,,,,6.0,5.8,41.0,1.0,,,6.0,1.0,,,6.0,1.0,,,7.0,,,,,,,2000-12-15 00:00:00+00:00
5587,2001,1,13,17,33,32.3,EL SALVADOR; GUATEMALA,13.049,-88.66,60.0,7.7,4.0,6.4,True,4.0,169632.0,4.0,EL SALVADOR,100,4723.0,4.0,108226.0,4.0,169632.0,4.0,7.7,7.8,4723.0,4.0,108226.0,4.0,844.0,3.0,753.0,,844.0,3.0,753.0,5444.0,8.0,,,,,,,2001-01-13 00:00:00+00:00
5589,2001,1,26,3,16,42.8,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.388,70.326,17.0,7.6,4.0,6.9,True,4.0,,,INDIA,60,166836.0,4.0,339000.0,4.0,339000.0,4.0,7.6,8.0,166836.0,4.0,339000.0,4.0,20005.0,4.0,2623.0,,20005.0,4.0,2623.0,,10.0,,,,,,,2001-01-26 00:00:00+00:00
5592,2001,2,13,14,22,5.8,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,10.0,6.6,4.0,5.5,True,4.0,15706.0,4.0,EL SALVADOR,100,3399.0,4.0,41302.0,4.0,15706.0,4.0,6.6,6.5,3399.0,4.0,41302.0,4.0,315.0,3.0,348.5,,315.0,3.0,348.5,,6.0,,,,,,,2001-02-13 00:00:00+00:00
5593,2001,2,23,0,9,23.6,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,33.0,5.6,3.0,5.7,True,3.0,,,CHINA,30,109.0,3.0,60000.0,4.0,60000.0,4.0,5.6,5.4,109.0,3.0,60000.0,4.0,3.0,1.0,,,3.0,1.0,,,,,,,,,,2001-02-23 00:00:00+00:00
5595,2001,2,28,18,54,32.8,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,52.0,6.8,4.0,6.5,True,4.0,,,USA,150,400.0,3.0,,,,,6.8,6.6,400.0,3.0,,,1.0,1.0,2000.0,,1.0,1.0,2000.0,,8.0,,WA,,,,,2001-02-28 00:00:00+00:00
5596,2001,3,24,6,27,53.5,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,50.0,6.8,4.0,6.4,True,4.0,3700.0,4.0,JAPAN,30,161.0,3.0,,,3700.0,4.0,6.8,6.5,161.0,3.0,,,2.0,1.0,500.0,,2.0,1.0,500.0,,9.0,,,,,,,2001-03-24 00:00:00+00:00
