id,time_ms,longitude,latitude,depth_km,magnitude,mag_type,place,sig,felt,cdi,mmi,alert,tsunami,type,url,time
us7000jkwx,1678829460385,160.0092,51.313,10.0,4.1,mb,"210 km SSE of Vilyuchinsk, Russia",259,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkwx,2023-03-14 21:31:00.385000+00:00
us7000jjxs,1678829945010,140.2166,35.4658,64.834,4.2,mb,"7 km NNW of Chōnan, Japan",271,1.0,1.0,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjxs,2023-03-14 21:39:05.010000+00:00
us7000jjyt,1678837531573,-179.2164,-29.8035,309.485,4.6,mb,Kermadec Islands region,326,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjyt,2023-03-14 23:45:31.573000+00:00
us7000jjz2,1678840606559,167.0387,-13.1851,183.313,4.9,mb,"94 km NW of Sola, Vanuatu",369,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjz2,2023-03-15 00:36:46.559000+00:00
us7000jjz7,1678842977338,-173.4139,-19.4326,10.0,4.6,mb,Tonga,326,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjz7,2023-03-15 01:16:17.338000+00:00
us7000jjzm,1678847541344,81.3504,34.9914,17.045,4.7,mb,"172 km SSW of Aqqan, China",340,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjzm,2023-03-15 02:32:21.344000+00:00
us7000jjzy,1678850996023,36.3894,37.1468,12.301,4.2,mb,"14 km W of Hasanbeyli, Turkey",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjzy,2023-03-15 03:29:56.023000+00:00
us7000jjzz,1678851514159,101.406,37.8371,13.725,4.2,mb,"41 km N of Qingshizui, China",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jjzz,2023-03-15 03:38:34.159000+00:00
us7000jk00,1678851589486,-29.1983,0.8497,10.0,4.9,mb,central Mid-Atlantic Ridge,369,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jk00,2023-03-15 03:39:49.486000+00:00
us7000jlgg,1678851757508,-173.5466,-14.9454,10.0,4.6,mb,"114 km NNE of Hihifo, Tonga",326,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgg,2023-03-15 03:42:37.508000+00:00
us7000jlgq,1678853061341,-173.8234,-21.5026,10.0,4.5,mb,"118 km E of ‘Ohonua, Tonga",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgq,2023-03-15 04:04:21.341000+00:00
us7000jlgh,1678855300304,166.3167,-12.5896,35.0,4.5,mb,"195 km NW of Sola, Vanuatu",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgh,2023-03-15 04:41:40.304000+00:00
us7000jlgi,1678855922152,93.7038,9.6093,114.367,4.0,mb,"250 km SSE of Port Blair, India",246,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlgi,2023-03-15 04:52:02.152000+00:00
